img_path,label,labeled_yn
imgs/43344.jpg,1,False
imgs/47218.jpg,8,False
imgs/23060.jpg,0,False
imgs/30170.jpg,0,False
imgs/05883.jpg,0,False
imgs/48488.jpg,0,False
imgs/04715.jpg,1,False
imgs/21981.jpg,9,False
imgs/04239.jpg,0,False
imgs/45944.jpg,9,False
imgs/25307.jpg,1,False
imgs/29034.jpg,0,False
imgs/15704.jpg,0,False
imgs/34037.jpg,0,False
imgs/16445.jpg,8,False
imgs/27513.jpg,8,False
imgs/30932.jpg,0,False
imgs/21192.jpg,9,False
imgs/04598.jpg,8,False
imgs/14058.jpg,9,False
imgs/29164.jpg,8,False
imgs/22773.jpg,8,False
imgs/08008.jpg,8,False
imgs/33596.jpg,1,False
imgs/03720.jpg,0,False
imgs/01600.jpg,0,False
imgs/29305.jpg,9,False
imgs/40544.jpg,0,False
imgs/02202.jpg,1,False
imgs/49657.jpg,0,False
imgs/09099.jpg,8,False
imgs/33438.jpg,2,False
imgs/25005.jpg,0,False
imgs/41935.jpg,8,False
imgs/19748.jpg,9,False
imgs/31321.jpg,0,False
imgs/26865.jpg,8,False
imgs/33187.jpg,9,False
imgs/16519.jpg,0,False
imgs/48968.jpg,9,False
imgs/44082.jpg,6,False
imgs/12652.jpg,0,False
imgs/05905.jpg,0,False
imgs/37506.jpg,0,False
imgs/06285.jpg,9,False
imgs/49904.jpg,9,False
imgs/29562.jpg,0,False
imgs/34257.jpg,8,False
imgs/17743.jpg,8,False
imgs/16306.jpg,0,False
imgs/08254.jpg,3,False
imgs/15975.jpg,5,False
imgs/25512.jpg,0,False
imgs/14993.jpg,8,False
imgs/45417.jpg,0,False
imgs/12421.jpg,0,False
imgs/24370.jpg,8,False
imgs/42446.jpg,0,False
imgs/04536.jpg,6,False
imgs/15383.jpg,0,False
imgs/30141.jpg,0,False
imgs/10187.jpg,8,False
imgs/33224.jpg,1,False
imgs/02550.jpg,2,False
imgs/21879.jpg,9,False
imgs/47457.jpg,9,False
imgs/06648.jpg,0,False
imgs/30099.jpg,9,False
imgs/28771.jpg,0,False
imgs/27094.jpg,0,False
imgs/47332.jpg,9,False
imgs/17283.jpg,9,False
imgs/36036.jpg,6,False
imgs/29474.jpg,0,False
imgs/39604.jpg,8,False
imgs/08110.jpg,0,False
imgs/41758.jpg,8,False
imgs/23966.jpg,8,False
imgs/33859.jpg,9,False
imgs/34236.jpg,8,False
imgs/18373.jpg,8,False
imgs/16132.jpg,9,False
imgs/25686.jpg,8,False
imgs/35237.jpg,8,False
imgs/48028.jpg,8,False
imgs/06681.jpg,0,False
imgs/30478.jpg,8,False
imgs/09050.jpg,8,False
imgs/07270.jpg,5,False
imgs/22084.jpg,6,False
imgs/45230.jpg,0,False
imgs/46756.jpg,8,False
imgs/41989.jpg,0,False
imgs/18811.jpg,8,False
imgs/21787.jpg,9,False
imgs/08125.jpg,8,False
imgs/07774.jpg,9,False
imgs/06390.jpg,8,False
imgs/48115.jpg,8,False
imgs/33147.jpg,9,False
imgs/43695.jpg,8,False
imgs/31059.jpg,0,False
imgs/06301.jpg,9,False
imgs/24037.jpg,6,False
imgs/26078.jpg,8,False
imgs/06061.jpg,9,False
imgs/48804.jpg,9,False
imgs/41718.jpg,8,False
imgs/23057.jpg,9,False
imgs/31043.jpg,0,False
imgs/18028.jpg,0,False
imgs/30778.jpg,9,False
imgs/18378.jpg,8,False
imgs/11777.jpg,3,False
imgs/30168.jpg,6,False
imgs/35305.jpg,6,False
imgs/05459.jpg,9,False
imgs/34694.jpg,9,False
imgs/41276.jpg,2,False
imgs/27563.jpg,8,False
imgs/17010.jpg,3,False
imgs/01305.jpg,9,False
imgs/18029.jpg,0,False
imgs/25636.jpg,6,False
imgs/47645.jpg,9,False
imgs/31463.jpg,0,False
imgs/09550.jpg,1,False
imgs/39447.jpg,9,False
imgs/42245.jpg,0,False
imgs/34243.jpg,8,False
imgs/31809.jpg,9,False
imgs/09675.jpg,0,False
imgs/40746.jpg,0,False
imgs/19778.jpg,9,False
imgs/22890.jpg,9,False
imgs/06228.jpg,0,False
imgs/22340.jpg,9,False
imgs/32181.jpg,8,False
imgs/30097.jpg,0,False
imgs/17848.jpg,9,False
imgs/23800.jpg,2,False
imgs/48388.jpg,9,False
imgs/35676.jpg,9,False
imgs/08863.jpg,0,False
imgs/09402.jpg,0,False
imgs/03667.jpg,0,False
imgs/47312.jpg,8,False
imgs/40737.jpg,8,False
imgs/02864.jpg,0,False
imgs/01399.jpg,9,False
imgs/23288.jpg,8,False
imgs/16432.jpg,8,False
imgs/30937.jpg,8,False
imgs/18089.jpg,8,False
imgs/29725.jpg,6,False
imgs/05368.jpg,0,False
imgs/04321.jpg,0,False
imgs/49086.jpg,0,False
imgs/29124.jpg,9,False
imgs/04652.jpg,8,False
imgs/22334.jpg,9,False
imgs/21569.jpg,8,False
imgs/35851.jpg,6,False
imgs/41729.jpg,0,False
imgs/17273.jpg,6,False
imgs/11501.jpg,0,False
imgs/17011.jpg,6,False
imgs/08304.jpg,0,False
imgs/01870.jpg,3,False
imgs/11438.jpg,2,False
imgs/46910.jpg,2,False
